* Generated by rew_pipeline.py (source UUID 3cad11fd-e3fa-4108-9c9c-d820def9f39f, calibrated to its own SPL at 100 Hz, phase referenced to REW t=0 (IR start -1.000021 s))
* Measurement: R.filtered.120.green.multipos.fdw6
* Dated: 2026-Sep-15 11:27:47
* Note: ; Trace Arithmetic A times B A = R.nofdw.120.green.multipos.fdw6 B = FRX-trimmed.120.green.multipos.fdw6
* Smoothing: None
* Frequency Step: 0.1831055 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
57.678223 65.457 101.9166
57.861328 65.648 97.2213
58.044434 64.837 93.2974
58.227539 63.234 96.0910
58.410645 62.170 109.5542
58.593750 62.969 123.1407
58.776855 64.210 127.1037
58.959961 64.647 126.0933
59.143066 64.212 126.5009
59.326172 63.555 132.5865
59.509277 63.693 142.3933
59.692383 64.625 148.6870
59.875488 65.477 150.0116
60.058594 65.847 149.7875
60.241699 65.881 151.2492
60.424805 65.992 155.5426
60.607910 66.510 161.2276
60.791016 67.410 166.2719
60.974121 68.519 170.0382
61.157227 69.748 172.5445
61.340332 71.033 173.5899
61.523438 72.270 173.0991
61.706543 73.371 171.4794
61.889648 74.327 169.3373
62.072754 75.202 166.9943
62.255859 76.058 164.2995
62.438965 76.901 160.9001
62.622070 77.685 156.6650
62.805176 78.365 151.8090
62.988281 78.927 146.6819
63.171387 79.384 141.5106
63.354492 79.748 136.3223
63.537598 80.004 131.0929
63.720703 80.123 125.9664
63.903809 80.102 121.3231
64.086914 79.994 117.5968
64.270020 79.914 114.8929
64.453125 79.961 112.7069
64.636230 80.139 110.1999
64.819336 80.344 106.9087
65.002441 80.457 103.0941
65.185547 80.427 99.4769
65.368652 80.301 96.7385
65.551758 80.188 95.0522
65.734863 80.189 93.8836
65.917969 80.311 92.3460
66.101074 80.473 89.8515
66.284180 80.581 86.3856
66.467285 80.581 82.3154
66.650391 80.469 78.1042
66.833496 80.273 74.1341
67.016602 80.037 70.6079
67.199707 79.799 67.4963
67.382812 79.566 64.5896
67.565918 79.301 61.6829
67.749023 78.939 58.8230
67.932129 78.434 56.4365
68.115234 77.814 55.1787
68.298340 77.209 55.4520
68.481445 76.788 56.7849
68.664551 76.608 57.8847
