* Generated by rew_pipeline.py (source UUID 6c5ff0b0-8c32-4d9a-87d3-d1c755ad89b3, calibrated to its own SPL at 100 Hz, phase referenced to REW t=0 (IR start -1.000021 s))
* Measurement: LR.filtered.120.green.multipos.fdw6
* Dated: 2026-Sep-15 11:27:47
* Note: ; Vector average of L.filtered.120.green.multipos.fdw6, R.filtered.120.green.multipos.fdw6
* Smoothing: None
* Frequency Step: 0.1831055 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
104.553223 75.498 44.5442
104.736328 75.463 42.8669
104.919434 75.427 41.3342
105.102539 75.387 39.8076
105.285645 75.332 38.2486
105.468750 75.237 36.6955
105.651855 75.103 35.3377
105.834961 74.941 34.2405
106.018066 74.770 33.4685
106.201172 74.599 32.9164
106.384277 74.424 32.6046
106.567383 74.247 32.5010
106.750488 74.065 32.6858
106.933594 73.894 33.1158
107.116699 73.731 33.7898
107.299805 73.589 34.6581
107.482910 73.467 35.7187
107.666016 73.391 36.9176
107.849121 73.359 38.1297
108.032227 73.378 39.2504
108.215332 73.425 40.2078
108.398438 73.496 41.0933
108.581543 73.587 41.9191
108.764648 73.707 42.7190
108.947754 73.848 43.3615
109.130859 73.995 43.8779
109.313965 74.134 44.2827
109.497070 74.269 44.7339
109.680176 74.425 45.1869
109.863281 74.611 45.5656
110.046387 74.829 45.6847
110.229492 75.052 45.5367
110.412598 75.274 45.1808
110.595703 75.492 44.7085
110.778809 75.721 44.0927
110.961914 75.946 43.2148
111.145020 76.146 42.0363
111.328125 76.285 40.6315
111.511230 76.358 39.2582
111.694336 76.380 38.0891
111.877441 76.392 37.2199
112.060547 76.422 36.4794
112.243652 76.474 35.7174
112.426758 76.531 34.8000
112.609863 76.572 33.8236
112.792969 76.597 32.8936
112.976074 76.614 32.1234
113.159180 76.648 31.4826
113.342285 76.700 30.8891
113.525391 76.777 30.2512
113.708496 76.866 29.5031
113.891602 76.967 28.6365
114.074707 77.069 27.6154
114.257812 77.167 26.4714
114.440918 77.252 25.1920
114.624023 77.321 23.8431
114.807129 77.369 22.4018
114.990234 77.394 20.8968
115.173340 77.390 19.2831
115.356445 77.349 17.6066
115.539551 77.272 15.8862
115.722656 77.161 14.1818
115.905762 77.027 12.4953
116.088867 76.865 10.8247
116.271973 76.673 9.2122
116.455078 76.438 7.7585
116.638184 76.172 6.6540
116.821289 75.892 5.9835
117.004395 75.632 5.7484
117.187500 75.408 5.7258
117.370605 75.211 5.7709
117.553711 75.023 5.7834
117.736816 74.831 5.8970
117.919922 74.651 6.1686
118.103027 74.502 6.6138
118.286133 74.398 7.0622
118.469238 74.316 7.4309
118.652344 74.238 7.7449
118.835449 74.151 8.1608
119.018555 74.078 8.7701
119.201660 74.038 9.4616
119.384766 74.040 10.0184
119.567871 74.053 10.2278
119.750977 74.047 10.1457
119.934082 74.003 9.9192
120.117188 73.936 9.8052
120.300293 73.873 9.8294
120.483398 73.839 9.9575
120.666504 73.833 9.9845
120.849609 73.830 9.8782
121.032715 73.812 9.6423
121.215820 73.764 9.4372
121.398926 73.701 9.3324
121.582031 73.633 9.3523
121.765137 73.580 9.4075
121.948242 73.531 9.4107
122.131348 73.483 9.3623
122.314453 73.420 9.3241
122.497559 73.350 9.4465
122.680664 73.283 9.7552
122.863770 73.237 10.2549
123.046875 73.214 10.7748
123.229980 73.209 11.2535
123.413086 73.209 11.5768
123.596191 73.208 11.7857
123.779297 73.208 11.8173
123.962402 73.202 11.7074
124.145508 73.188 11.4528
124.328613 73.153 11.2073
124.511719 73.110 11.1157
124.694824 73.073 11.2919
124.877930 73.071 11.6828
125.061035 73.100 12.1060
125.244141 73.150 12.4324
125.427246 73.189 12.6167
125.610352 73.219 12.7714
125.793457 73.250 12.8756
125.976562 73.306 12.8633
126.159668 73.378 12.5089
126.342773 73.440 11.8152
126.525879 73.464 10.8935
126.708984 73.442 10.0801
126.892090 73.405 9.5397
127.075195 73.381 9.2880
127.258301 73.387 9.0794
127.441406 73.394 8.7295
127.624512 73.377 8.2173
127.807617 73.314 7.7021
127.990723 73.233 7.3535
128.173828 73.165 7.1367
128.356934 73.139 6.8990
128.540039 73.138 6.4175
128.723145 73.136 5.7325
128.906250 73.109 4.9668
129.089355 73.059 4.3749
129.272461 73.007 3.9652
129.455566 72.963 3.6730
129.638672 72.921 3.2739
129.821777 72.849 2.7319
130.004883 72.734 2.0876
130.187988 72.570 1.5048
130.371094 72.390 1.0428
130.554199 72.204 0.6542
130.737305 72.026 0.2539
130.920410 71.829 -0.1742
131.103516 71.607 -0.4281
131.286621 71.362 -0.3101
131.469727 71.135 0.3560
131.652832 70.959 1.3861
131.835938 70.843 2.5547
132.019043 70.759 3.5815
132.202148 70.672 4.5563
132.385254 70.581 5.5728
132.568359 70.507 6.7583
132.751465 70.482 7.9053
132.934570 70.490 8.8295
133.117676 70.503 9.4357
133.300781 70.485 9.9408
133.483887 70.458 10.5810
133.666992 70.448 11.3953
133.850098 70.490 12.1554
134.033203 70.548 12.5554
134.216309 70.577 12.6120
134.399414 70.538 12.5563
134.582520 70.452 12.7792
134.765625 70.364 13.3248
134.948730 70.313 14.0743
135.131836 70.292 14.7156
135.314941 70.267 15.3088
135.498047 70.229 16.0054
135.681152 70.204 17.0410
135.864258 70.238 18.2410
136.047363 70.322 19.3298
136.230469 70.423 20.0876
136.413574 70.482 20.6892
136.596680 70.506 21.4389
136.779785 70.527 22.4940
136.962891 70.597 23.7017
137.145996 70.709 24.7261
137.329102 70.840 25.4600
137.512207 70.956 25.9793
137.695312 71.073 26.5183
137.878418 71.213 27.0457
138.061523 71.389 27.4870
138.244629 71.584 27.6795
138.427734 71.773 27.7497
138.610840 71.955 27.7899
138.793945 72.140 27.8993
138.977051 72.342 27.9198
139.160156 72.538 27.7512
139.343262 72.708 27.3755
139.526367 72.834 26.9570
139.709473 72.943 26.6060
139.892578 73.055 26.2526
140.075684 73.185 25.7114
140.258789 73.302 24.8322
140.441895 73.384 23.7365
140.625000 73.423 22.6202
140.808105 73.446 21.7012
140.991211 73.485 20.9077
141.174316 73.550 20.1202
141.357422 73.625 19.1805
141.540527 73.685 18.1858
141.723633 73.732 17.2375
141.906738 73.777 16.4199
142.089844 73.836 15.6173
142.272949 73.893 14.7180
142.456055 73.929 13.7187
142.639160 73.926 12.7591
142.822266 73.903 11.9953
143.005371 73.884 11.3795
143.188477 73.888 10.7450
143.371582 73.895 9.8648
143.554688 73.875 8.7731
143.737793 73.810 7.6026
143.920898 73.709 6.5960
144.104004 73.603 5.7728
144.287109 73.507 5.0821
144.470215 73.421 4.3696
144.653320 73.324 3.6461
144.836426 73.211 2.9620
145.019531 73.082 2.3832
145.202637 72.952 1.8627
145.385742 72.809 1.3019
145.568848 72.645 0.6937
145.751953 72.441 0.1065
