* Generated by rew_pipeline.py (source UUID c11b66be-534c-4ea4-ab08-38d8268a4119, calibrated to its own SPL at 100 Hz, phase referenced to REW t=0 (IR start -1.000021 s))
* Measurement: LR.120.green.multipos.fdw6
* Dated: 2026-Sep-15 11:27:47
* Note: ; Vector average of L.nofdw.120.green.multipos.fdw6, R.nofdw.120.green.multipos.fdw6
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
132.568359 73.971 -65.9907
132.934570 73.950 -63.7177
133.300781 73.965 -62.6895
133.666992 73.943 -61.4406
134.033203 74.062 -60.5596
134.399414 74.049 -60.9644
134.765625 73.835 -60.5119
135.131836 73.726 -59.2796
135.498047 73.642 -58.2101
135.864258 73.629 -56.1479
136.230469 73.828 -54.3702
136.596680 73.940 -53.2858
136.962891 74.022 -51.3378
137.329102 74.260 -49.7066
137.695312 74.514 -48.9580
138.061523 74.827 -48.4136
138.427734 75.210 -48.3790
138.793945 75.596 -48.5084
139.160156 75.999 -48.9953
139.526367 76.305 -50.1153
139.892578 76.535 -51.2793
140.258789 76.777 -53.0982
140.625000 76.905 -55.6612
140.991211 76.953 -57.8573
141.357422 77.046 -59.9658
141.723633 77.118 -62.2637
142.089844 77.182 -64.3336
142.456055 77.238 -66.4844
142.822266 77.211 -68.3872
143.188477 77.199 -69.8968
143.554688 77.187 -72.0515
143.920898 77.043 -74.5189
144.287109 76.858 -76.4697
144.653320 76.701 -78.3475
145.019531 76.493 -80.2530
145.385742 76.219 -82.0508
145.751953 75.847 -83.8923
146.118164 75.366 -85.3269
146.484375 74.855 -86.1133
146.850586 74.304 -86.1679
147.216797 73.739 -84.6993
147.583008 73.306 -81.8763
147.949219 72.977 -78.5030
148.315430 72.785 -74.0644
148.681641 72.984 -69.5403
149.047852 73.422 -67.1429
149.414062 73.818 -65.9010
149.780273 74.297 -64.9430
150.146484 74.805 -65.4288
150.512695 75.129 -66.6511
150.878906 75.392 -67.8735
151.245117 75.585 -70.0974
151.611328 75.557 -72.4436
151.977539 75.495 -73.7630
152.343750 75.489 -75.0229
152.709961 75.423 -76.0068
153.076172 75.398 -76.4403
153.442383 75.373 -77.0811
153.808594 75.325 -77.0711
154.174805 75.447 -77.0498
154.541016 75.515 -78.2439
154.907227 75.407 -78.6913
155.273438 75.461 -78.1255
155.639648 75.668 -78.4233
156.005859 75.840 -79.2014
156.372070 75.987 -79.8972
156.738281 76.102 -80.4736
157.104492 76.243 -81.2122
157.470703 76.370 -82.7550
157.836914 76.466 -84.2505
158.203125 76.724 -85.6193
158.569336 77.038 -88.0299
158.935547 77.195 -90.8105
159.301758 77.255 -93.5150
159.667969 77.224 -96.6757
160.034180 77.098 -99.9351
160.400391 76.926 -103.1652
160.766602 76.633 -105.9590
161.132812 76.313 -107.5064
161.499023 76.096 -109.0662
161.865234 75.807 -111.2938
162.231445 75.464 -112.9471
162.597656 75.197 -114.1360
162.963867 74.928 -114.9992
163.330078 74.672 -115.3496
163.696289 74.393 -115.7930
164.062500 74.069 -115.7236
164.428711 73.884 -115.3236
164.794922 73.747 -115.4479
165.161133 73.624 -115.0802
165.527344 73.688 -114.9893
165.893555 73.747 -116.2992
166.259766 73.694 -117.7088
166.625977 73.641 -118.8621
166.992188 73.552 -119.9778
167.358398 73.428 -121.1195
167.724609 73.203 -122.6384
168.090820 72.896 -123.3646
168.457031 72.811 -123.4916
168.823242 72.819 -124.8736
169.189453 72.625 -126.1799
169.555664 72.422 -126.3743
169.921875 72.312 -127.0572
170.288086 72.192 -128.6846
170.654297 72.066 -130.7897
171.020508 71.930 -132.6805
171.386719 71.831 -134.0557
171.752930 71.669 -135.7342
172.119141 71.304 -137.2321
172.485352 70.948 -138.3432
172.851562 70.665 -140.2953
173.217773 70.377 -142.0827
173.583984 70.217 -143.2518
173.950195 69.944 -144.8102
174.316406 69.368 -144.9696
174.682617 68.938 -143.9711
175.048828 68.654 -145.1348
175.415039 68.229 -146.8461
175.781250 67.928 -146.6461
176.147461 67.817 -145.7262
176.513672 67.653 -144.7768
176.879883 67.415 -144.5544
177.246094 67.084 -145.5998
177.612305 66.895 -146.6187
177.978516 67.097 -148.1947
178.344727 67.263 -150.8484
178.710938 67.121 -152.3107
179.077148 67.002 -153.2755
179.443359 66.845 -156.8923
179.809570 66.436 -161.1729
180.175781 66.199 -163.3397
180.541992 66.220 -165.6643
180.908203 65.997 -168.4650
181.274414 65.775 -170.8794
181.640625 65.865 -176.3199
182.006836 65.933 175.5922
182.373047 65.991 169.0746
182.739258 66.169 164.0180
183.105469 66.242 158.7392
183.471680 66.341 152.6324
183.837891 66.699 143.7558
184.204102 67.105 133.0931
184.570312 67.511 124.1935
184.936523 68.098 116.8957
185.302734 68.724 108.3959
185.668945 69.140 98.3584
186.035156 69.406 88.5848
186.401367 69.768 80.2074
186.767578 70.250 72.5906
187.133789 70.622 65.6886
187.500000 70.924 60.3608
187.866211 71.370 55.4856
188.232422 71.851 49.8897
188.598633 72.304 44.6372
188.964844 72.851 39.8399
189.331055 73.403 34.7724
189.697266 73.886 29.7666
190.063477 74.359 24.6453
190.429688 74.773 19.2848
190.795898 75.139 14.3958
191.162109 75.512 9.7502
191.528320 75.797 4.8966
191.894531 75.968 0.1085
192.260742 76.099 -4.7013
192.626953 76.208 -9.4283
192.993164 76.331 -13.7914
193.359375 76.414 -18.0793
193.725586 76.353 -21.8231
194.091797 76.304 -24.7797
194.458008 76.340 -28.4571
194.824219 76.247 -32.8901
195.190430 76.018 -36.3759
195.556641 75.792 -38.9348
195.922852 75.481 -41.2003
196.289062 75.071 -42.4230
196.655273 74.764 -42.7263
197.021484 74.536 -43.0287
197.387695 74.261 -42.5101
197.753906 74.085 -40.3867
198.120117 74.131 -37.9617
198.486328 74.286 -36.0408
198.852539 74.580 -34.1704
199.218750 75.113 -32.9163
199.584961 75.766 -32.9939
199.951172 76.376 -34.0549
200.317383 76.891 -35.5012
200.683594 77.367 -37.0127
201.049805 77.875 -39.0864
201.416016 78.330 -42.2269
201.782227 78.650 -45.7847
202.148438 78.912 -49.3247
202.514648 79.129 -53.2051
202.880859 79.243 -57.1608
203.247070 79.303 -60.7318
203.613281 79.349 -64.1125
203.979492 79.349 -67.3271
204.345703 79.315 -70.2619
204.711914 79.247 -73.0184
205.078125 79.145 -75.4955
205.444336 79.053 -77.8239
205.810547 78.954 -80.3322
206.176758 78.814 -82.8312
206.542969 78.657 -85.1441
206.909180 78.481 -87.2626
207.275391 78.298 -89.0328
207.641602 78.138 -90.7009
208.007812 77.952 -92.4445
208.374023 77.741 -93.8338
208.740234 77.582 -94.9133
209.106445 77.457 -96.0629
209.472656 77.330 -97.0895
209.838867 77.228 -98.0096
210.205078 77.109 -99.0277
210.571289 76.945 -99.7625
210.937500 76.810 -100.1946
211.303711 76.705 -100.7558
211.669922 76.618 -101.1696
212.036133 76.635 -101.4866
212.402344 76.697 -102.4424
212.768555 76.652 -103.6382
213.134766 76.558 -104.4225
213.500977 76.498 -105.3634
213.867188 76.423 -106.6288
214.233398 76.358 -107.6651
214.599609 76.334 -108.6241
214.965820 76.269 -109.6169
215.332031 76.157 -110.4784
215.698242 76.019 -111.5668
216.064453 75.817 -112.5596
216.430664 75.667 -112.6037
216.796875 75.693 -112.4509
217.163086 75.730 -113.1005
217.529297 75.644 -114.0009
217.895508 75.538 -114.7395
218.261719 75.487 -115.5710
218.627930 75.476 -116.3776
218.994141 75.470 -116.9549
219.360352 75.428 -117.3625
219.726562 75.339 -117.8725
220.092773 75.205 -118.5926
220.458984 75.106 -119.0434
220.825195 75.157 -119.4268
221.191406 75.230 -120.3217
221.557617 75.177 -120.9302
221.923828 75.117 -121.0265
222.290039 75.084 -121.6040
222.656250 75.020 -122.4300
223.022461 74.989 -123.0241
223.388672 74.974 -123.2819
223.754883 75.010 -122.8454
224.121094 75.162 -122.7791
224.487305 75.249 -123.6495
224.853516 75.283 -124.3620
225.219727 75.416 -125.3123
225.585938 75.547 -126.9653
225.952148 75.662 -128.5314
226.318359 75.826 -130.2871
226.684570 75.946 -132.4212
227.050781 76.007 -134.5838
227.416992 76.001 -136.9559
227.783203 75.930 -139.1752
228.149414 75.914 -141.4477
228.515625 75.863 -144.3251
228.881836 75.721 -146.6580
229.248047 75.670 -148.6566
229.614258 75.570 -151.6209
229.980469 75.294 -154.2155
230.346680 75.098 -156.1730
230.712891 74.895 -159.0079
231.079102 74.478 -161.4396
231.445312 74.107 -162.6602
231.811523 73.862 -164.5347
232.177734 73.532 -167.0565
232.543945 73.133 -168.9753
232.910156 72.751 -170.1985
233.276367 72.389 -171.3284
233.642578 71.973 -172.9361
234.008789 71.478 -174.5037
234.375000 71.044 -175.7247
234.741211 70.630 -177.0172
235.107422 70.105 -177.6980
235.473633 69.504 -177.5839
235.839844 68.814 -177.0736
236.206055 68.114 -175.8922
236.572266 67.487 -174.2651
236.938477 66.942 -171.6175
237.304688 66.619 -168.6753
237.670898 66.280 -166.7162
238.037109 65.945 -164.1021
238.403320 65.853 -162.3289
238.769531 65.547 -160.9243
239.135742 65.289 -156.2682
239.501953 65.354 -152.4231
239.868164 65.103 -149.5020
240.234375 65.081 -145.2879
240.600586 65.340 -144.2971
240.966797 65.354 -142.7191
241.333008 65.866 -139.0521
241.699219 66.463 -138.7438
242.065430 66.581 -138.1518
242.431641 66.927 -136.8739
242.797852 67.320 -138.4640
243.164062 67.523 -139.9443
243.530273 67.834 -141.2583
243.896484 67.953 -143.3818
244.262695 67.978 -144.5419
244.628906 68.153 -147.0721
244.995117 68.063 -150.8709
245.361328 67.881 -152.7506
245.727539 67.844 -154.7324
246.093750 67.518 -157.1243
246.459961 67.137 -157.6113
246.826172 67.015 -158.8620
247.192383 66.723 -161.4367
247.558594 66.249 -162.6597
247.924805 65.810 -162.9700
248.291016 65.344 -163.5681
248.657227 64.748 -164.6595
249.023438 63.970 -164.7933
249.389648 63.338 -162.9915
249.755859 62.852 -161.4298
250.122070 62.296 -159.1076
250.488281 62.010 -157.0582
250.854492 61.475 -157.3629
251.220703 60.583 -153.9110
251.586914 60.323 -148.5145
251.953125 59.785 -145.9564
252.319336 58.856 -138.3388
252.685547 58.783 -129.7062
253.051758 58.570 -123.2615
253.417969 58.764 -111.9633
253.784180 59.883 -103.1326
254.150391 60.956 -96.5231
254.516602 62.302 -91.2906
254.882812 63.554 -89.9317
255.249023 64.569 -89.2428
255.615234 65.712 -89.2554
255.981445 66.794 -91.2269
256.347656 67.665 -94.2501
256.713867 68.338 -98.0162
257.080078 68.868 -101.8059
257.446289 69.454 -105.5508
257.812500 70.023 -110.0873
258.178711 70.402 -114.3938
258.544922 70.743 -118.0040
258.911133 71.068 -122.5529
259.277344 71.194 -127.9316
259.643555 71.242 -132.7463
260.009766 71.400 -137.5732
260.375977 71.492 -143.2196
260.742188 71.345 -148.6206
261.108398 71.082 -153.1862
261.474609 70.775 -157.9187
261.840820 70.348 -162.8667
262.207031 69.913 -167.2767
262.573242 69.561 -171.9388
262.939453 69.067 -177.1325
263.305664 68.354 178.5361
263.671875 67.624 175.0653
264.038086 66.953 171.1450
264.404297 66.323 166.1957
264.770508 65.645 160.0524
265.136719 64.747 153.7201
265.502930 63.689 148.0481
265.869141 62.510 141.5445
266.235352 61.043 133.5952
266.601562 59.455 124.8978
266.967773 57.976 113.5986
267.333984 56.469 97.3922
267.700195 55.292 75.4780
268.066406 55.494 49.9647
268.432617 57.148 27.9799
268.798828 59.210 11.7066
269.165039 60.953 -1.6002
269.531250 62.200 -12.7815
269.897461 63.224 -21.2095
270.263672 64.321 -27.5085
270.629883 65.482 -33.0321
270.996094 66.541 -38.5475
271.362305 67.389 -43.8404
271.728516 68.120 -48.5166
272.094727 68.821 -53.0768
272.460938 69.451 -57.5415
272.827148 70.067 -61.7120
273.193359 70.654 -66.2989
273.559570 71.115 -71.0376
273.925781 71.533 -75.6958
274.291992 71.844 -80.9945
274.658203 71.916 -85.7463
275.024414 71.993 -89.2295
275.390625 72.088 -93.2939
275.756836 71.940 -97.0869
276.123047 71.831 -99.1644
276.489258 71.902 -101.7814
276.855469 71.850 -104.7967
277.221680 71.826 -106.7893
277.587891 71.877 -109.0967
277.954102 71.813 -110.9403
278.320312 71.862 -112.0191
278.686523 71.899 -114.2867
279.052734 71.710 -116.1395
279.418945 71.645 -117.2372
279.785156 71.588 -119.7101
280.151367 71.338 -121.4402
280.517578 71.295 -121.8503
280.883789 71.334 -123.2770
281.250000 71.197 -124.0338
281.616211 71.175 -123.8403
281.982422 71.155 -124.5905
282.348633 71.011 -124.8522
282.714844 71.042 -124.5179
283.081055 71.186 -125.0397
283.447266 71.310 -125.6751
283.813477 71.479 -126.3268
284.179688 71.625 -127.3683
284.545898 71.728 -128.4072
284.912109 71.831 -129.4666
285.278320 71.922 -130.6003
285.644531 71.999 -131.7802
286.010742 72.072 -132.9957
286.376953 72.195 -134.4139
