* Generated by rew_pipeline.py (source UUID 9e8dedfa-8b56-4da9-abd5-de1186520615, calibrated to its own SPL at 100 Hz, phase referenced to REW t=0 (IR start -0.999958 s))
* Measurement: L.filtered.120.green.multipos.fdw6
* Dated: 2026-Sep-15 11:27:46
* Note: ; Trace Arithmetic A times B A = L.nofdw.120.green.multipos.fdw6 B = FLX-trimmed.120.green.multipos.fdw6
* Smoothing: None
* Frequency Step: 0.1831055 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
56.579590 76.114 -52.3040
56.762695 76.057 -53.0222
56.945801 76.023 -54.6313
57.128906 75.910 -56.7353
57.312012 75.713 -58.5885
57.495117 75.516 -59.7203
57.678223 75.420 -60.2943
57.861328 75.452 -60.9150
58.044434 75.555 -62.0465
58.227539 75.655 -63.7092
58.410645 75.717 -65.6735
58.593750 75.745 -67.7728
58.776855 75.758 -70.0115
58.959961 75.760 -72.4535
59.143066 75.748 -75.0770
59.326172 75.725 -77.7665
59.509277 75.710 -80.4221
59.692383 75.721 -83.0451
59.875488 75.763 -85.7075
60.058594 75.831 -88.4646
60.241699 75.926 -91.3367
60.424805 76.059 -94.3842
60.607910 76.239 -97.7595
60.791016 76.458 -101.6295
60.974121 76.689 -106.0279
61.157227 76.907 -110.7980
61.340332 77.108 -115.7020
61.523438 77.313 -120.6145
61.706543 77.540 -125.6414
61.889648 77.781 -131.0444
62.072754 77.995 -137.0177
62.255859 78.132 -143.5145
62.438965 78.167 -150.2529
62.622070 78.112 -156.8701
62.805176 78.013 -163.1259
62.988281 77.920 -169.0461
63.171387 77.852 -174.8817
63.354492 77.778 179.1216
63.537598 77.648 172.9532
63.720703 77.432 166.8711
63.903809 77.152 161.2305
64.086914 76.879 156.2162
64.270020 76.695 151.6479
64.453125 76.625 147.0809
64.636230 76.625 142.1935
64.819336 76.612 137.0783
65.002441 76.535 132.1626
65.185547 76.406 127.8726
65.368652 76.287 124.2791
65.551758 76.237 120.9633
65.734863 76.259 117.2826
65.917969 76.304 112.8411
66.101074 76.319 107.6971
66.284180 76.289 102.1889
66.467285 76.235 96.6185
66.650391 76.180 91.0521
66.833496 76.106 85.3621
67.016602 75.956 79.4521
67.199707 75.659 73.4412
67.382812 75.175 67.6646
67.565918 74.520 62.5158
67.749023 73.760 58.2258
67.932129 72.976 54.7152
68.115234 72.204 51.7241
68.298340 71.418 49.2311
68.481445 70.581 47.7700
68.664551 69.740 48.2204
68.847656 69.076 50.9340
69.030762 68.777 54.7510
69.213867 68.803 57.5733
69.396973 68.898 58.3056
69.580078 68.840 57.3851
69.763184 68.578 55.8901
69.946289 68.207 54.7206
70.129395 67.893 54.1357
70.312500 67.762 53.6817
70.495605 67.812 52.6690
70.678711 67.934 50.7855
70.861816 67.998 48.2297
71.044922 67.913 45.4584
71.228027 67.646 42.9286
71.411133 67.225 40.9237
71.594238 66.718 39.4027
71.777344 66.199 37.9394
71.960449 65.691 35.9502
72.143555 65.153 33.1682
72.326660 64.534 29.9360
72.509766 63.835 27.0099
72.692871 63.137 24.9294
72.875977 62.536 23.3118
73.059082 62.013 20.8493
73.242188 61.381 16.2696
73.425293 60.420 9.0197
73.608398 59.030 -1.0762
73.791504 57.349 -14.5525
73.974609 55.881 -32.5033
74.157715 55.428 -54.7999
74.340820 56.365 -77.9728
74.523926 58.138 -98.7731
74.707031 60.046 -116.8379
74.890137 61.748 -132.5186
75.073242 63.160 -145.7127
75.256348 64.325 -156.1200
75.439453 65.333 -163.7286
75.622559 66.278 -169.0727
75.805664 67.202 -173.0702
75.988770 68.079 -176.5551
76.171875 68.867 -179.9661
76.354980 69.545 176.5872
76.538086 70.116 173.1446
76.721191 70.592 169.8481
76.904297 70.991 166.9643
77.087402 71.351 164.8251
77.270508 71.743 163.5997
77.453613 72.237 162.9984
77.636719 72.845 162.3143
77.819824 73.487 160.9447
78.002930 74.057 158.8308
78.186035 74.489 156.4112
78.369141 74.797 154.2901
78.552246 75.064 152.8887
78.735352 75.388 152.2400
78.918457 75.840 152.0504
79.101562 76.438 151.9352
79.284668 77.169 151.5624
79.467773 78.000 150.6300
79.650879 78.880 148.8569
79.833984 79.739 146.0979
80.017090 80.512 142.4343
80.200195 81.161 138.1333
80.383301 81.686 133.5291
80.566406 82.121 128.8499
80.749512 82.506 124.1171
80.932617 82.856 119.2303
81.115723 83.160 114.1168
81.298828 83.393 108.8270
81.481934 83.532 103.5527
81.665039 83.581 98.5343
81.848145 83.567 93.9139
82.031250 83.524 89.6593
82.214355 83.472 85.6053
82.397461 83.406 81.5864
82.580566 83.307 77.5674
82.763672 83.157 73.6654
82.946777 82.957 70.0564
83.129883 82.723 66.8496
83.312988 82.473 64.0222
83.496094 82.215 61.4578
83.679199 81.938 59.0549
83.862305 81.629 56.8105
84.045410 81.288 54.8172
84.228516 80.926 53.1919
84.411621 80.569 52.0051
84.594727 80.242 51.2583
84.777832 79.961 50.9111
84.960938 79.736 50.9077
85.144043 79.572 51.1696
85.327148 79.471 51.5778
85.510254 79.428 51.9873
85.693359 79.435 52.2709
85.876465 79.483 52.3431
86.059570 79.570 52.1413
86.242676 79.694 51.5968
86.425781 79.845 50.6497
86.608887 80.003 49.3068
86.791992 80.141 47.6802
86.975098 80.242 45.9528
87.158203 80.305 44.2901
87.341309 80.339 42.7528
87.524414 80.350 41.2757
87.707520 80.337 39.7344
87.890625 80.291 38.0526
88.073730 80.207 36.2555
88.256836 80.100 34.4256
88.439941 80.000 32.6034
88.623047 79.931 30.7249
88.806152 79.897 28.6681
88.989258 79.868 26.3874
89.172363 79.804 24.0163
89.355469 79.676 21.8451
89.538574 79.489 20.1825
89.721680 79.279 19.1818
89.904785 79.098 18.7259
90.087891 78.979 18.4685
90.270996 78.923 18.0272
90.454102 78.910 17.1649
90.637207 78.922 15.8088
90.820312 78.947 13.9566
91.003418 78.972 11.6149
91.186523 78.974 8.8290
91.369629 78.921 5.7382
91.552734 78.792 2.5688
91.735840 78.588 -0.4580
91.918945 78.328 -3.2571
92.102051 78.032 -5.9514
92.285156 77.695 -8.7892
92.468262 77.279 -11.9299
92.651367 76.732 -15.2598
92.834473 76.024 -18.3665
93.017578 75.172 -20.6705
93.200684 74.251 -21.6836
93.383789 73.376 -21.3258
93.566895 72.630 -20.0521
93.750000 72.015 -18.5125
93.933105 71.463 -17.0274
94.116211 70.920 -15.4800
94.299316 70.381 -13.6580
94.482422 69.866 -11.5779
94.665527 69.371 -9.4318
94.848633 68.857 -7.2316
95.031738 68.305 -4.6188
95.214844 67.773 -1.1560
95.397949 67.383 3.0706
95.581055 67.201 7.2392
95.764160 67.155 10.5238
95.947266 67.112 12.9384
96.130371 67.016 15.2124
96.313477 66.943 17.9545
96.496582 67.011 20.8951
96.679688 67.225 23.0501
96.862793 67.431 23.8299
97.045898 67.444 23.7389
97.229004 67.191 24.0962
97.412109 66.770 26.3162
97.595215 66.445 30.8783
97.778320 66.451 36.4917
97.961426 66.739 41.1809
98.144531 67.070 44.3655
98.327637 67.301 46.9005
98.510742 67.479 49.7244
98.693848 67.741 52.8520
98.876953 68.139 55.4593
99.060059 68.584 56.9218
99.243164 68.963 57.4510
99.426270 69.251 57.7098
99.609375 69.510 58.1139
99.792480 69.806 58.5118
99.975586 70.132 58.5086
100.158691 70.415 58.0566
100.341797 70.607 57.6162
100.524902 70.736 57.7618
100.708008 70.897 58.6213
100.891113 71.155 59.6740
101.074219 71.473 60.2455
101.257324 71.751 60.1824
101.440430 71.924 59.9293
101.623535 72.024 60.0578
101.806641 72.146 60.7314
101.989746 72.373 61.5367
102.172852 72.698 61.8961
102.355957 73.060 61.6228
102.539062 73.411 60.9798
102.722168 73.761 60.2987
102.905273 74.145 59.6269
103.088379 74.571 58.7208
103.271484 75.001 57.3396
103.454590 75.376 55.4860
103.637695 75.663 53.3659
103.820801 75.864 51.1824
104.003906 76.004 48.9792
104.187012 76.099 46.6518
104.370117 76.145 44.0957
104.553223 76.131 41.3423
104.736328 76.053 38.5645
104.919434 75.930 35.9600
105.102539 75.793 33.6217
105.285645 75.663 31.5007
105.468750 75.537 29.4926
105.651855 75.396 27.5586
105.834961 75.215 25.7645
106.018066 74.987 24.2206
106.201172 74.712 23.0003
106.384277 74.398 22.1112
106.567383 74.048 21.5330
106.750488 73.663 21.2720
106.933594 73.249 21.3790
107.116699 72.819 21.9269
107.299805 72.396 22.9796
107.482910 72.008 24.5694
107.666016 71.687 26.6716
107.849121 71.464 29.1699
108.032227 71.356 31.8572
108.215332 71.359 34.5103
108.398438 71.455 36.9789
108.581543 71.624 39.1873
108.764648 71.854 41.0609
108.947754 72.127 42.4931
109.130859 72.412 43.4153
109.313965 72.680 43.8813
109.497070 72.914 44.0546
109.680176 73.121 44.0952
109.863281 73.321 44.0536
110.046387 73.524 43.8725
110.229492 73.723 43.4950
110.412598 73.906 42.9553
110.595703 74.068 42.3523
110.778809 74.216 41.7410
110.961914 74.356 41.0748
111.145020 74.475 40.2789
111.328125 74.550 39.3908
111.511230 74.568 38.6099
