* Generated by rew_pipeline.py (source UUID a991554c-26c7-4668-8b42-31ccc9447062, calibrated to its own SPL at 100 Hz, phase referenced to REW t=0 (IR start -1.000015 s))
* Measurement: R.nofdw.120.green.multipos.fdw6
* Dated: 2026-Sep-15 11:27:46
* Note: ; Copy of R.0 10 sept 2026 Position MLP 4.18m from front wall 3.32m from RLand L speaker 1.20m speakers to front wall marker: green 2 screen panels prolongation - new setup DAC level -29dB MIC HEIGHT: 1.000m mic boom arm height: 1.040 -12dBFS OKTO -28dB DELAY -0.0108 ms (-3.7 mm, -0.15 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -15.2 ppm
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
110.229492 81.553 10.6732
110.595703 82.098 9.1158
110.961914 82.775 6.4926
111.328125 83.274 2.0443
111.694336 83.482 -1.9749
112.060547 83.656 -6.4855
112.426758 83.624 -9.5023
112.792969 83.662 -13.7399
113.159180 83.537 -16.3793
113.525391 83.536 -17.3713
113.891602 83.624 -18.6627
114.257812 83.957 -20.5734
114.624023 84.187 -23.5783
114.990234 84.441 -25.8008
115.356445 84.670 -29.3434
115.722656 84.785 -33.5969
116.088867 84.794 -38.6402
116.455078 84.647 -43.7520
116.821289 84.349 -47.5947
117.187500 84.042 -51.3485
117.553711 83.706 -54.7036
117.919922 83.288 -57.7461
118.286133 82.797 -60.1851
118.652344 82.307 -61.3658
119.018555 81.930 -61.7769
119.384766 81.735 -61.7439
119.750977 81.553 -61.7504
120.117188 81.418 -62.6129
120.483398 81.496 -63.2088
120.849609 81.695 -64.7376
121.215820 81.722 -67.5280
121.582031 81.616 -70.9518
121.948242 81.437 -74.6421
122.314453 81.159 -78.7834
122.680664 80.436 -82.0121
123.046875 79.785 -85.0111
123.413086 78.883 -86.3516
123.779297 77.949 -86.2775
124.145508 77.172 -83.9439
124.511719 76.270 -80.6470
124.877930 75.918 -74.9242
125.244141 75.898 -70.0814
125.610352 76.259 -65.6927
125.976562 76.745 -63.6191
126.342773 77.306 -64.7266
126.708984 77.562 -64.9435
127.075195 77.903 -65.6939
127.441406 77.964 -65.9955
127.807617 78.234 -68.5971
128.173828 78.446 -70.7166
128.540039 78.498 -72.6548
128.906250 78.660 -75.5599
129.272461 78.571 -79.8498
129.638672 78.516 -82.3240
130.004883 78.247 -84.7725
130.371094 77.928 -88.1659
130.737305 77.488 -90.2259
131.103516 77.114 -93.4445
131.469727 76.336 -93.6896
131.835938 75.904 -93.1007
132.202148 75.392 -93.9351
132.568359 75.046 -92.9653
132.934570 74.482 -91.3866
133.300781 74.242 -90.2004
133.666992 73.850 -87.5142
134.033203 73.996 -86.4475
134.399414 73.928 -84.4921
134.765625 73.704 -84.6679
135.131836 73.553 -84.7619
135.498047 73.496 -84.7586
135.864258 73.412 -80.9370
136.230469 73.178 -81.1431
136.596680 73.140 -77.7497
136.962891 73.183 -75.5513
137.329102 73.228 -75.0683
137.695312 73.376 -71.8776
138.061523 73.645 -70.8067
138.427734 73.805 -70.7143
138.793945 74.146 -70.6021
139.160156 74.512 -69.0835
139.526367 74.536 -69.9323
139.892578 74.850 -69.1511
